upMH,SUM_Area
JQD1878060,280.349307
JQD1878061,202.5526937
JQD1878062,132.0478098
JQD1878063,240.1102683
JQD1878064,175.9334798
JQD1878065,411.290859
JQD1878066,207.2386197
JQD1878067,112.2624529
JQD1878068,117.864589
JQD1878069,338.7517516
JQD1878070,311.9832158
JQD1878071,
JQD1878072,121.3995067
JQD1878073,358.9311608
JQD1878074,372.0125316
JQD1878075,106.1082678
JQD1878076,255.6514863
JQD1878077,442.2019964
JQD1878078,340.854627
JQD1878079,99.86605966
JQD1878080,97.61057792
JQD1878081,218.1867244
JQD1878082,323.374748
JQD1878083,
JQD1878084,142.8402569
JQD1878085,237.2299625
JQD1878086,166.1034893
JQD1878087,221.2501001
JQD1878088,142.4774912
JQD1878089,188.5291492
JQD1878090,684.647882
JQD1878055,199.4253834
JQD1878057,1463.679437
JQD1879001,2163.321807
JQD1879002,8.934596518
JQD1879003,19.55369227
JQD1879004,
JQD1879005,8.177309559
JQD1879006,
JQD1879007,
JQD1879008,
JQD1879009,
JQD1879010,
JQD1879011,
JQD1879012,
JQD1879013,110.9860738
JQD1879014,
JQD1879015,
JQD1879016,
JQD1879017,138.8110622
JQD1879018,
JQD1879019,160.8904655
JQD1879020,86.52764911
JQD1879021,502.2864231
JQD1879022,695.1933454
JQD1879023,221.8551185
JQD1879024,
JQD1879025,
JQD1879026,
JQD1879027,118.0147274
JQD1879028,7.108024755
JQD1879029,172.5523439
JQD1879030,380.498782
JQD1879031,
JQD1879032,165.3080891
JQD1879033,
JQD1879034,
JQD1879035,
JQD1879036,234.6456515
JQD1879037,103.6345205
JQD1879038,93.86064443
JQD1879039,194.7370519
JQD1879040,157.7676534
JQD1879041,132.40438
JQD1879042,148.5161579
JQD1879043,121.7185739
JQD1879044,483.5117759
JQD1879045,85.27937986
JQD1879046,123.9868338
JQD1879047,
JQD1879048,99.64147047
JQD1879049,
JQD1879050,134.2363346
JQD1879051,205.0878634
JQD1879052,205.6421543
JQD1879053,194.9789882
JQD1879054,98.81652411
JQD1879055,105.4084299
JQD1879056,110.6901213
JQD1879057,204.461627
JQD1879058,213.011199
JQD1879059,205.4388137
JQD1879060,251.3560453
JQD1879061,140.1199681
JQD1879062,290.7964585
JQD1879063,227.0103873
JQD1879064,423.851117
JQD1879065,464.5361202
JQD1879066,346.7352421
JQD1879067,210.9403899
JQD1879068,386.8736203
JQD1879069,325.6370316
JQD1879070,423.2297737
JQD1879071,233.7938741
JQD1879072,353.4139561
JQD1879073,222.9216606
JQD1879074,547.4652189
JQD1879075,414.8098439
JQD1879076,326.0560357
JQD1879077,179.5122795
JQD1879078,290.2378957
JQD1879079,117.0362386
JQD1879080,192.4862798
JQD1879081,243.2768639
JQD1879082,437.338606
JQD1879083,373.5646459
JQD1879084,444.9161559
JQD1879085,448.046963
JQD1879086,435.9514803
JQD1879087,528.9493097
JQD1879088,543.6388158
JQD1879089,466.0512728
JQD1879090,9.007965395
JQD1879091,217.9623191
JQD1879092,535.0897764
JQD1879093,426.3452909
JQD1879094,115.528391
JQD1879095,424.155466
JQD1879096,438.9134284
JQD1879097,494.3478689
JQD1879098,302.6662394
JQD1879099,183.4815424
JQD1879100,119.8442328
JQD1879101,108.0329533
JQD1879102,408.9548631
JQD1879103,449.9334254
JQD1879104,454.8559928
JQD1879105,109.9669352
JQD1879106,423.9359875
JQD1879107,403.5557725
JQD1879108,472.8809988
JQD1879109,399.0701774
JQD1879110,238.6137115
JQD1879111,226.1018099
JQD1879112,265.5255652
JQD1879113,217.9303773
JQD1879114,212.2608237
JQD1879115,187.3930883
JQD1879116,516.1353329
JQD1879117,501.936631
JQD1879118,433.1837975
JQD1879119,85.33261764
JQD1879120,251.8449645
JQD1879121,406.5862862
JQD1879122,414.3836918
JQD1879123,440.6252149
JQD1879124,106.7049624
JQD1879125,470.8839039
JQD1879126,461.3953115
JQD1879127,443.638155
JQD1879128,114.7454331
JQD1879129,228.1281838
JQD1879130,194.0698286
JQD1879131,230.634469
JQD1879132,135.4758556
JQD1879133,87.01878044
JQD1879134,142.733095
JQD1879135,189.1410568
JQD1879136,307.4256033
JQD1886001,137.7279459
JQD1886002,247.6976768
JQD1886003,282.0124317
JQD1886004,
JQD1886005,
JQD1886006,
JQD1886007,166.0909503
JQD1886008,442.9638107
JQD1886009,
JQD1886010,70.48270332
JQD1886011,
JQD1886012,
JQD1886013,
JQD1887001,533.7843211
JQD1887002,282.8374981
JQD1887003,409.8378883
JQD1887004,346.9383099
JQD1887005,22.28277481
JQD1887006,110.4560153
JQD1887007,146.4070901
JQD1887008,88.66188948
JQD1887009,95.56835407
JQD1887010,
JQD1887011,138.6255206
JQD1887012,
JQD1887013,135.3361324
JQD1887014,
JQD1887015,
JQD1887016,310.5047837
JQD1887017,384.6777904
JQD1887018,296.1591334
JQD1887019,99.88390598
JQD1887020,109.4997696
JQD1887021,162.5606808
JQD1887022,215.6682164
JQD1887023,291.7031916
JQD1887024,454.1566226
JQD1887025,85.24999127
JQD1887026,69.27904343
JQD1887027,123.1608742
JQD1887028,196.0902322
JQD1887029,394.3971937
JQD1887030,419.5864304
JQD1887031,417.194046
JQD1887032,241.5825085
JQD1887033,291.0352534
JQD1887034,221.7878599
JQD1887035,364.4675483
JQD1887036,427.9829303
JQD1887037,194.2419005
JQD1887038,118.3265438
JQD1887039,189.8783555
JQD1887040,214.3795886
JQD1887041,396.4119155
JQD1887042,283.4377706
JQD1887043,260.674072
JQD1887044,221.8663924
JQD1887045,165.0590057
JQD1887046,175.5218824
JQD1887047,218.0551666
JQD1887048,407.8012652
JQD1887049,410.3689819
JQD1887050,331.2760635
JQD1887051,85.98999442
JQD1887052,109.3798276
JQD1887053,442.2262191
JQD1887054,438.1184585
JQD1887055,270.0988716
JQD1887056,126.2702782
JQD1887057,2673.302411
JQD1887058,99.45198259
JQD1887059,315.5780443
JQD1887060,360.8549856
JQD1887061,302.6978798
JQD1887062,185.7456777
JQD1888001,
JQD1888002,
JQD1888003,
JQD1888004,139.069401
JQD1888005,220.7190823
JQD1888006,366.5663959
JQD1888007,429.9351904
JQD1888008,430.496987
JQD1888009,192.9663632
JQD1888010,97.37654885
JQD1888011,443.0975417
JQD1888012,396.4841508
JQD1888013,444.0783048
JQD1888014,449.6040346
JQD1888015,459.7443527
JQD1888016,286.4022867
JQD1888017,379.3317882
JQD1888018,436.5216551
JQD1888019,347.1045438
JQD1888020,225.2723868
JQD1888021,339.5538755
JQD1888022,400.1279547
JQD1888023,204.0924134
JQD1888024,113.3645478
JQD1888025,252.780525
JQD1888026,222.8055791
JQD1888027,2659.985433
JQD1888028,208.9700879
JQD1888029,217.1862324
JQD1888030,80.50730699
JQD1888031,212.5050907
JQD1888032,222.2609555
JQD1888033,121.1967685
JQD1888034,220.0945383
JQD1888035,217.4774706
JQD1888036,199.6184422
JQD1888037,205.6352698
JQD1888038,102.3996961
JQD1888039,282.9790926
JQD1888040,211.6906375
JQD1888041,222.264708
JQD1888042,188.7235567
JQD1888043,294.8694772
JQD1888044,292.4656153
JQD1888045,205.159949
JQD1888046,500.6475044
JQD1888047,267.2727646
JQD1888048,95.7059481
JQD1888049,508.7156251
JQD1888050,475.6073332
JQD1888051,415.8911388
JQD1888052,378.5273743
JQD1888053,312.1163785
JQD1888054,410.719011
JQD1888055,425.8162308
JQD1888056,309.5560882
JQD1888057,204.6722069
JQD1888058,430.793774
JQD1888059,338.1334063
JQD1888060,122.4642425
JQD1888061,228.5255914
JQD1888062,120.3398249
JQD1888063,222.4907842
JQD1888064,516.1826879
JQD1888065,320.7008054
JQD1888067,215.0344318
JQD1888068,173.6957131
JQD1888069,296.8113535
JQD1888070,307.942714
JQD1888071,165.0868463
JQD1888072,263.5286563
JQD1888073,281.8002469
JQD1888074,429.4657506
JQD1888075,288.1956654
JQD1888077,191.7293732
JQD1888078,372.9941198
JQD1888079,381.2911661
JQD1888081,276.5491252
JQD1888082,454.3967092
JQD1888083,377.3576023
JQD1888085,115.4909158
JQD1888086,178.6798705
JQD1888087,191.507765
JQD1888089,
JQD1888090,2808.298077
JQD1888091,2057.672577
JQD1888092,105.6784957
JQD1888093,127.7251648
